library_name,type_of_elimination,source,ulc_member,reason_for_stopping_fines,lat,long,policy_notes,official_policy_link,state,fine_free_date,fine_free_date_notes,amnesty,amnesty_notes,literature,ffl_timestamp,library_url
Camden County Library System,Everyone,https://www.camdencountylibrary.org/camden-county-library-goes-fine-free,FALSE,"It is the mission of the Library to provide equal access to information, services, and opportunities that empower, enrich, and enhance the quality of life for all. Fines are a barrier to that access. Eliminating that barrier opens doors to all in our community to utilize the resources the Library offers.",NA,NA,https://www.camdencountylibrary.org/fine-free-faqs,https://www.camdencountylibrary.org/borrowing-policies#card,NJ,2019-07-01,NA,NA,NA,NA,NA,https://www.camdencountylibrary.org/
Canyon Area Library,Everybody,https://www.newschannel10.com/2019/05/27/canyon-area-library-is-now-fine-free/,FALSE,"“The idea is to be as inviting as possible and to get as many people to come into the library and take advantage of the services,” said Jon Behrens, Interim City Manager for the City of Canyon. “Across the country, as fines are placed on people, sometimes that becomes a roadblock for them.”",NA,NA,NA,http://www.canyonlibrary.org/DocumentCenter/View/3983/Library-Circulation-Policy-?bidId=,TX,2019-05-27,NA,NA,NA,NA,NA,http://www.canyonlibrary.org/264/Library
Carleton Branch library,No Fines,,NA,NA,NA,NA,NA,https://monroe.lib.mi.us/my-library/get-card/overdues,MI,2019-01-01,NA,NA,NA,NA,7/23/19 22:03,MyMCLS.com
Carnegie-Stout Public Library,No Fines,https://www.dubuque.lib.ia.us/525/6152/No-More-Fines,NA,NA,NA,NA,NA,NA,IA,2019-07-01,NA,NA,NA,NA,6/20/19 11:45,www.dubuque.lib.ia.us
Caro Area District Library,No Fines,https://caro.ploud.net/about-us/policies/cadlpolicymanual19.pdf,NA,NA,NA,NA,NA,https://caro.ploud.net/about-us/policies/cadlpolicymanual.pdf,MI,NA,NA,NA,NA,NA,1/25/19 13:52,www.carolibrary.org
Caruthersville Public Library,Everyone,http://cville.lib.mo.us/services/,FALSE,"Caruthersville Public Library feels that the goodwill of the community is worth much more than the monetary value of charging overdue fines. This is especially pertinent in Caruthersville since it  is located in the poorest county in the state, a fact that contributed to fines paid being less than 0.5% of their budget",36.184432,-89.665075,NA,NA,MO,NA,NA,NA,NA,NA,NA,http://cville.lib.mo.us/
Cascade Public Library,No Fines,no link that I have,NA,NA,NA,NA,NA,NA,IA,NA,NA,NA,NA,NA,7/27/19 17:35,https://www.cascade.lib.ia.us/
Castleton Public Library,No Fines,No. ,NA,NA,NA,NA,NA,http://www.castletonpubliclibrary.org/policy/category/fines,NY,NA,NA,NA,NA,NA,6/1/19 16:45,http://www.castletonpubliclibrary.org/
Charleston County Public Library,Everyone,https://www.postandcourier.com/news/late-book-fees-eliminated-at-all-charleston-county-library-branches/article_e85e79ac-9fdb-11e8-b6d8-97789e9b7294.html,FALSE,"Library Director Nicolle Davies argued that outstanding fines can prevent some patrons from returning to the library, particularly low-income cardholders who can’t afford to pay. ",32.788619,-79.931161,"If a patron doesn't return a book within 42 days of check-out, he or she will be billed for the full cost of the item. And patrons still have to pay any fines accrued before June 20.",NA,SC,2018-06-20,NA,NA,NA,NA,NA,https://www.ccpl.org/
Charlestown Clark County Public Library,No Fines,I don't think so - they have been fine free for a long time! https://www.newsandtribune.com/news/new-albany-floyd-county-library-eliminates-late-fees/article_973f0c9e-53d2-11e8-8ca0-8f70a3db2f2b.html,NA,"That library system stopped charging late fees in 2003. They eliminated theirs when switching from a four-week check-out system to a three-week one, amid worries that the new time period would confuse patrons. But the library has experienced so few issues since the policy began that it has no intention of switching back to a fine system, said Director June Kruer.",NA,NA,NA,http://clarkco.lib.in.us/contentpages.asp?loc=76,IN,2003-01-01,month and day are guesses,NA,NA,NA,2/21/19 20:32,http://clarkco.lib.in.us/
Chatham County Public Libraries,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",https://www.chatham.k12.nc.us/Page/22302,NA,NA,NA,NA,Students will not be responsible for late fees as a part of Chatham PASS.,https://www.chathamnc.org/government/departments-programs/library/library-policies-forms/circulation-policy,NC,NA,NA,NA,NA,NA,7/19/19 14:55,https://www.chathamnc.org/government/departments-programs/library
Chattahoochee Valley Libraries,Everyone,https://www.ledger-enquirer.com/news/local/article233031552.html,TRUE,"""... library’s mission to make its collection as accessible as possible to as many folks in the Columbus area as possible — so they use it as often as possible.""",NA,NA,NA,https://www.cvlga.org/wp-content/uploads/Circulation-Policy-2019-Update.docx.pdf,GA,2019-08-15,"And on the effective date, Aug. 15, all overdue fines will be cleared from patron accounts, although customers still must pay to replace items not returned after 42 days (six weeks).
And on the effective date, Aug. 15, all overdue fines will be cleared from patron accounts, although customers still must pay to replace items not returned after 42 days (six weeks).",NA,NA,NA,NA,https://www.cvlga.org/
Chesley Memorial Library,No Fines,No.,NA,Library fines were originally instituted to encourage patrons to bring items back on time. There is a responsibility factor involved since library items are community materials to be shared by all. The new policy retains the ease of a donation system for overdue library items and donations are greatly appreciated but we need to ensure that library items are returned in a timely manner.,NA,NA,NA,https://www.chesleylib.com/policies.html,NH,NA,NA,NA,NA,NA,7/22/19 10:15,chesleylib.com
Chetco Community Public Library,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",No.  But the Coastline Consortium (which includes libraries in Coos & Curry Counties) just eliminated juvenile fines. ,NA,NA,NA,NA,looks like they do charge overdue fines,http://chetcolibrary.org/library-services/circulation-services/,OR,NA,NA,NA,NA,NA,1/25/19 13:35,www.chetcolibrary.org
Chillicothe & Ross County Public Library,Everyone,https://woub.org/event/chillicothe-ross-county-library-now-fine-free/,FALSE,NA,39.329857,-82.981634,If your item is more than 28 days late your card will be blocked,https://www.crcpl.org/about/policy/,OH,2017-04-01,NA,NA,NA,NA,NA,https://www.crcpl.org/
Citrus County library system,No Fines,,NA,NA,NA,NA,NA,NA,FL,NA,NA,NA,NA,NA,1/25/19 14:48,https://www.citruslibraries.org/
Clara Speigel,No Fines,https://www.comlib.org/about/policies/#toggle-id-1,NA,NA,NA,NA,"While the library does not charge any overdue fines, items that are overdue for three months will be declared Lost, and the member will be charged the listed cost of the item. ",https://www.comlib.org/about/policies/#toggle-id-1,ID,NA,NA,NA,NA,NA,1/25/19 14:50,https://www.comlib.org/
Claverack Free Library ,No Fines,"No, we� have always been fine free. ",NA,NA,NA,NA,NA,NA,NY,NA,NA,NA,NA,NA,1/24/19 21:31,Www.claveracklibrary.org
Clermont Public Library,No Fines,,NA,NA,NA,NA,NA,NA,IA,NA,NA,NA,NA,NA,1/25/19 13:42,https://www.clermont.lib.ia.us/
Cleveland Public Library,Everyone,https://cpl.org/cleveland-public-library-goes-fine-free-beginning-in-july/,TRUE,"“We want to remove barriers, not block people from accessing the Library,” said Cleveland Public Library Executive Director Felton Thomas, Jr",NA,NA,NA,https://cpl.org/aboutthelibrary/usingthelibrary/library-cards/,OH,2019-07-27,NA,NA,NA,NA,NA,https://cpl.org/
Clifton Springs Library,Everyone,https://cliftonspringslibrary.files.wordpress.com/2019/06/summer-2019-newsletter-final.pdf,FALSE,"""To provide free and equal access to cultural and educational experiences.""",NA,NA,Ovderdue fines eliminated for print materials and audiobooks.,https://cliftonspringslibrary.com/borrowing-policy-fines-and-fees/,NY,2019-07-11,NA,NA,NA,NA,NA,https://cliftonspringslibrary.com/
Clinton-Essex-Franklin Library System,No Fines,no  library has been fine free for over 15 years,NA,NA,NA,NA,There are no overdue fines for bookmobile or CEFLS materials,https://cefls.org/wp-content/uploads/2017/06/Circulation_Policy_20110215.pdf,NY,NA,NA,NA,NA,NA,7/20/19 10:06,cefls.org
Coeur d'Alene Public Library,No Fines,https://www.cdalibrary.org/events/436-libraries-going-fine-free-for-all-ages-june-3 https://www.cdapress.com/local_news/20190524/libraries_close_book_on_charging_late_fees,NA,NA,NA,NA,NA,http://www.cdalibrary.org/about/90-policy-manual,ID,2019-06-03,NA,NA,NA,https://www.cdapress.com/editorial/20190529/libraries_forgiveness_isa_fine_solution,6/1/19 11:27,CdaLibrary.org
Cohocton Public Library,"Partial Fines (no juvenile or young adult fines, select overdue media, etc.)",,NA,NA,NA,NA,NA,NA,NY,NA,NA,NA,NA,NA,1/29/19 10:02,www.cohoctonlibrary.org
Columbus Metropolitan Library,Everyone,https://www.columbuslibrary.org/press/columbus-metropolitan-library-eliminate-overdue-fines-beginning-jan-1-2017,TRUE,"Removing barriers to get more materials into the hands of more customers brings us closer to achieving our vision of a thriving community where wisdom prevails, said CML CEO Patrick Losinski. CML does not rely on the revenue generated from overdue fines.",39.9653,-82.991072,"Rather than imposing fines for overdue items, CML will defer to its longstanding policy of blocking library cards of customers who have materials 21 days or more overdue. This block prevents the customer from checking out more physical items until the long overdue materials have been returned. If an overdue item is not returned 35 days after its due date, it is deemed lost and the customer is charged a replacement fee. That fee would be removed if and when the customer returns the item. CML will continue to use regular customer notices to see overdue materials returned and a materials recovery agency to pursue debts from lost or damaged items.",https://www.columbuslibrary.org/about/using-the-library#faq_392,NA,2017-01-01,NA,NA,NA,NA,NA,https://www.columbuslibrary.org/
Columbus Public Library,Everyone,https://www.wiscnews.com/columbusjournal/announcements/community/columbus-public-library-no-longer-charging-for-overdue-fines/article_d60f2d05-1236-5ee6-843d-c53ddc035249.html,FALSE,"According to library staffer Heather, “This is our new ‘life happens’ policy. Whatever life throws you, we’ll work with you.” Library Board and staff members know due dates are sometimes hard to follow. “Kids can’t find a book and you know it’s in their room somewhere. The weather was so bad you didn’t dare go out? Accident, illness, or injury? No problem,” said Heather.",NA,NA,https://www.columbuspubliclibrary.info/borrowing-materials#overdue,NA,WI,2019-06-01,NA,NA,NA,NA,NA,https://www.columbuspubliclibrary.info/
Community Library,No Fines,"No, we've always been fine free.",NA,NA,NA,NA,NA,NA,ME,NA,NA,NA,NA,NA,5/22/19 16:01,lymanlibrary.org
